Inference for Bugs model at "scripts/multivariate/analyze-protea.jags", fit using jags,
 5 chains, each with 60000 iterations (first 10000 discarded), n.thin = 50
 n.sims = 5000 iterations saved
           mu.vect sd.vect    2.5%     25%     50%     75%   97.5%  Rhat n.eff
xi[5]        0.000   0.482  -1.008  -0.274   0.002   0.279   0.979 1.002  1900
xi[6]       -0.006   0.485  -0.997  -0.279  -0.014   0.274   0.996 1.003  1000
xi[7]        0.005   0.473  -0.986  -0.266   0.014   0.274   0.965 1.001  3700
xi[8]       -0.001   0.476  -0.994  -0.263   0.017   0.279   0.958 1.004   770
xi[9]        0.007   0.498  -0.998  -0.292   0.006   0.301   1.020 1.003  1400
xi[10]      -0.012   0.495  -1.021  -0.293  -0.021   0.284   1.004 1.002  2500
xi[11]      -0.014   0.500  -0.968  -0.313  -0.037   0.304   0.966 1.006   580
xi[12]      -0.030   0.490  -0.982  -0.315  -0.048   0.270   0.974 1.004  1100
xi[13]      -0.022   0.491  -1.040  -0.312  -0.029   0.279   0.950 1.002  4700
xi[14]      -0.019   0.496  -0.975  -0.323  -0.047   0.271   1.014 1.003  1300
xi[15]      -0.009   0.498  -0.980  -0.309  -0.025   0.288   1.014 1.003  1300
xi[16]      -0.011   0.493  -1.003  -0.297  -0.010   0.285   0.982 1.002  1800
xi[17]      -0.012   0.497  -1.035  -0.290  -0.030   0.282   1.006 1.002  1600
xi[18]       0.003   0.500  -0.967  -0.309   0.009   0.310   0.998 1.002  1600
xi[19]      -0.004   0.502  -1.042  -0.299   0.006   0.302   0.979 1.001  4400
xi[20]       0.002   0.480  -1.002  -0.284   0.013   0.310   0.961 1.004   910
xi[21]       0.013   0.496  -0.967  -0.282   0.012   0.301   1.018 1.001  5000
xi[22]       0.019   0.495  -1.005  -0.263   0.027   0.298   1.021 1.002  2400
xi[23]      -0.005   0.486  -1.003  -0.301   0.001   0.281   0.963 1.001  5000
xi[24]      -0.014   0.492  -0.999  -0.302  -0.025   0.269   0.985 1.002  1800
xi[25]       0.008   0.486  -0.994  -0.278  -0.003   0.293   1.018 1.002  2000
xi[26]      -0.008   0.488  -1.033  -0.289  -0.007   0.295   0.964 1.001  3500
xi[27]       0.012   0.483  -0.945  -0.267   0.023   0.301   0.993 1.002  1600
xi[28]       0.015   0.474  -0.960  -0.252   0.014   0.301   0.980 1.002  1900
xi[29]       0.021   0.477  -0.941  -0.258   0.032   0.293   0.960 1.001  5000
xi[30]       0.018   0.483  -0.963  -0.258   0.017   0.299   0.987 1.001  5000
xi[31]       0.004   0.470  -0.966  -0.260   0.021   0.271   0.960 1.003  1200
xi[32]       0.027   0.455  -0.905  -0.240   0.049   0.294   0.961 1.002  5000
xi[33]       0.024   0.424  -0.906  -0.207   0.045   0.247   0.896 1.003  1200
xi[34]      -0.014   0.385  -0.800  -0.210  -0.071   0.209   0.777 1.019   190
deviance   858.403  18.994 813.715 848.601 860.045 870.901 891.922 1.036   130

For each parameter, n.eff is a crude measure of effective sample size,
and Rhat is the potential scale reduction factor (at convergence, Rhat=1).

DIC info (using the rule, pD = var(deviance)/2)
pD = 174.9 and DIC = 1033.3
DIC is an estimate of expected predictive error (lower deviance is better).
